node_id,elevation_m
AGT,11.0
AZL,1092.0
BNG,57.0
BPT,40.0
BYR,73.0
CCP,884.0
CHP,1312.0
DBG,108.0
DBR,29.0
DMN,28.0
DMP,167.0
DPU,177.0
GAU,82.0
GLG,100.0
GLP,48.0
GTK,1715.0
HFL,560.0
IMP,780.0
ITN,229.0
JGP,46.0
JRT,98.0
JWI,1342.0
KHM,1526.0
KLB,428.0
KRJ,19.0
LGL,1199.0
LMD,141.0
MKG,1246.0
NGN,67.0
NHL,148.0
NLB,57.0
NLK,98.0
NMS,146.0
PDU,51.0
PSG,176.0
SCR,26.0
SHL,1368.0
SLG,127.0
SVS,94.0
TSK,124.0
TUR,342.0
TWG,2328.0
TZP,75.0
UDP,26.0
WKH,1417.0
ZRO,1634.0
n10029435603,92.0
n10045466628,14.0
n10083647515,65.0
n10083658519,66.0
n10106865512,30.0
n1013084171,121.0
n10133380464,1362.0
n10155070562,150.0
n10155070585,149.0
n10158835784,128.0
n1015933190,123.0
n1015933192,122.0
n1015933220,122.0
n10213828706,26.0
n10214421941,24.0
n10216581821,46.0
n10246471099,144.0
n10248662682,116.0
n10250450247,84.0
n10250450248,85.0
n10250451041,114.0
n10255327242,98.0
n10262279665,773.0
n10262284811,771.0
n10264865634,773.0
n10265667796,779.0
n10265688213,776.0
n10265749517,779.0
n10266912010,51.0
n10272701331,35.0
n10272734400,36.0
n10275531092,16.0
n10277702327,30.0
n10290751771,123.0
n10290865162,132.0
n10292560834,29.0
n10300198982,187.0
n10302235707,99.0
n10304096999,84.0
n10304104605,84.0
n10308074904,118.0
n10308421462,23.0
n10308693457,8.0
n10310636689,18.0
n10316090575,174.0
n10316091548,28.0
n10316679681,107.0
n10316737913,107.0
n10316796037,103.0
n10536208468,14.0
n10536208503,21.0
n10536208527,18.0
n10536208542,13.0
n10536208546,12.0
n10536274640,98.0
n10536274675,122.0
n10536337108,53.0
n10536341847,55.0
n10538897392,110.0
n10542401530,66.0
n10542441849,16.0
n10542636435,94.0
n10542793530,33.0
n10548372060,76.0
n10548518804,43.0
n10548518805,44.0
n10548663503,27.0
n10548664908,31.0
n10557043312,16.0
n10558774212,14.0
n10559072671,16.0
n10559317282,113.0
n10561388917,37.0
n10564333948,27.0
n10564426749,13.0
n10564426780,13.0
n10570122495,235.0
n10570159520,240.0
n10570246873,50.0
n10570506815,48.0
n10572259747,84.0
n10577981170,141.0
n10577985180,135.0
n10578437654,51.0
n10578768507,14.0
n10581509677,67.0
n10581564137,59.0
n10581564149,60.0
n10594321234,63.0
n10594321235,61.0
n10596043928,67.0
n10596583265,59.0
n10606194690,1228.0
n10606226017,1552.0
n10610496691,170.0
n10610870946,101.0
n10611382649,95.0
n10613533046,95.0
n10613588570,57.0
n10613663276,60.0
n10614233733,54.0
n10614310730,102.0
n10617300685,57.0
n10618573290,52.0
n10628379934,55.0
n10635491184,55.0
n10635540964,58.0
n10636819503,49.0
n10637217892,60.0
n10637620377,54.0
n10747768694,1643.0
n10845972370,1067.0
n10845972441,1244.0
n10846735171,671.0
n10855708561,54.0
n10862154825,447.0
n10862189351,401.0
n10862338650,751.0
n10867319160,1776.0
n10867319165,1741.0
n10870214475,1689.0
n10880761766,1338.0
n10891484467,51.0
n10892870737,81.0
n10892870784,83.0
n10892943818,81.0
n10892943849,81.0
n10893051924,69.0
n10895342956,67.0
n10895342958,70.0
n10895342969,71.0
n10895342973,68.0
n10895342978,68.0
n10895342984,68.0
n10972380780,1273.0
n11014001237,69.0
n11032046977,65.0
n11156251127,84.0
n11169091093,52.0
n11171299524,70.0
n11173813320,33.0
n11174400350,71.0
n11182692438,74.0
n11184926047,42.0
n1118544354,41.0
n1118544396,45.0
n1118544423,44.0
n1118544427,43.0
n1118544577,52.0
n1118544718,54.0
n1118544750,52.0
n1118558118,39.0
n1118584496,781.0
n1118584542,781.0
n1118584562,781.0
n1118584799,783.0
n1118584901,780.0
n1118585624,26.0
n1118729593,238.0
n1118729701,209.0
n1118730037,270.0
n1118730148,222.0
n1118730474,237.0
n1118730586,211.0
n1118730654,226.0
n1118730702,190.0
n1118731621,502.0
n1118732509,293.0
