u,v,mode,distance_km,terrain,route_ref,lanes,highway,bridge,tunnel,surface,osm_way_id
AGT,n1296647009,road,0.32,plain,primary,2,primary,0,0,,361146852
AGT,n1296647052,road,0.11,plain,primary,2,primary,0,0,asphalt,1321470720
AGT,n1296647826,road,1.14,plain,primary,2,primary,0,0,,114464766
AGT,n1296647863,road,1.38,plain,secondary,2,secondary,0,0,,114464810
AGT,n2519982799,road,2.68,plain,NH8,2,trunk,0,0,,244710730
AGT,n2519982861,road,2.34,plain,NH8,2,trunk,0,0,,244710730
AGT,n3657296463,road,13.15,mountain,secondary,2,secondary,0,0,,244710717
AGT,n9691272768,road,0.57,plain,primary,2,primary,0,0,,1054609092
AZL,n1683573369,road,15.34,mountain,NH6,2,trunk,0,0,,1058852502
AZL,n2018049269,road,14.47,mountain,NH108,2,trunk,0,0,asphalt,192353760
AZL,n2491563762,road,12.03,mountain,NH6,2,trunk,0,0,,241548750
AZL,n3887834640,road,11.38,mountain,primary,2,primary,0,0,,385437464
BNG,n1346380525,road,0.98,plain,NH27,2,trunk,0,0,,289052047
BNG,n1355674113,road,0.61,plain,MDR1,2,secondary,0,0,,759971844
BNG,n2399678417,road,0.39,plain,SH2,2,primary,0,0,,1194186907
BNG,n569197771,road,0.84,plain,SH2,2,primary,0,0,,363593104
BPT,n1364843641,road,1.64,plain,SH2,2,primary,0,0,,122066546
BPT,n2364711646,road,9.54,plain,NH427,2,trunk,0,0,,227831387
BPT,n2364711962,road,17.17,plain,SH8,2,primary,0,0,,227891039
BPT,n5054902785,road,0.86,plain,secondary,2,secondary,0,0,,518128391
BPT,n5058289377,road,5.73,plain,secondary,2,secondary,0,0,,518128365
BPT,n5058289949,road,10.09,plain,NH427,2,trunk,0,0,,227831379
BYR,n566693484,road,1.9,plain,NH6,2,trunk,0,0,,611197747
BYR,n9049141712,road,1.94,plain,NH6,2,trunk,0,0,,977963755
CCP,n2084597038,road,18.54,mountain,NH2,2,trunk,0,0,,237684205
CCP,n245721623,road,0.26,plain,NH102B,2,trunk,0,0,,676861475
CCP,n2501001558,road,2.25,plain,NH102B,2,trunk,0,0,,667742648
CCP,n6341037283,road,0.26,plain,secondary,2,secondary,0,0,paved,677203930
CHP,n245712869,road,3.09,mountain,NH6,2,trunk,0,0,,281833608
CHP,n2917220465,road,15.7,mountain,NH6,2,trunk,0,0,,288173837
DBG,n1133640064,road,1.01,plain,secondary,2,secondary,0,0,,97945343
DBG,n1380569336,road,2.69,plain,secondary,2,secondary,0,0,,229193381
DBG,n567357394,road,3.53,hilly,primary,2,primary,0,0,,434004792
