id,name,state,lat,lon,kind,population,has_market,has_coldstore
AGT,Agartala,Tripura,23.83571,91.263357,city,400004,1,1
AZL,Aizawl,Mizoram,23.717318,92.718582,city,293416,1,1
BNG,Bongaigaon,Assam,26.475665,90.540443,city,139650,1,0
BPT,Barpeta,Assam,26.324703,90.987199,town,42441,1,0
BYR,Byrnihat,Meghalaya,26.068116,91.872785,logistics_hub,12000,0,1
CCP,Churachandpur,Manipur,24.33483,93.67937,town,58118,1,0
CHP,Champhai,Mizoram,23.442714,93.343161,town,29649,0,0
DBG,Dibrugarh,Assam,27.480362,94.916364,city,154019,1,1
DBR,Dhubri,Assam,26.036026,89.970641,iwt_terminal,151000,1,0
DMN,Dharmanagar,Tripura,24.372134,92.181044,town,38562,1,0
DMP,Dimapur,Nagaland,25.901824,93.695986,city,122834,1,1
DPU,Diphu,Assam,25.84578,93.437905,town,56859,1,0
GAU,Guwahati,Assam,26.12671,91.742352,city,1116267,1,1
GLG,Golaghat,Assam,26.510585,93.967815,town,36568,1,0
GLP,Goalpara,Assam,26.150629,90.617629,town,53430,1,0
GTK,Gangtok,Sikkim,27.338175,88.615083,city,100286,1,1
HFL,Haflong,Assam,25.107198,93.002629,town,44002,0,0
IMP,Imphal,Manipur,24.799977,93.935436,city,268243,1,1
ITN,Itanagar,Arunachal Pradesh,27.084166,93.600551,city,59490,1,1
JGP,Jogighopa,Assam,26.219414,90.56017,iwt_terminal,15000,0,0
JRT,Jorhat,Assam,26.725951,94.213041,city,153889,1,1
JWI,Jowai,Meghalaya,25.440219,92.195434,town,28430,1,0
KHM,Kohima,Nagaland,25.626885,94.105693,city,99039,1,0
KLB,Kolasib,Mizoram,24.246945,92.682767,town,24329,1,0
KRJ,Karimganj,Assam,24.864338,92.36851,town,56854,1,0
LGL,Lunglei,Mizoram,22.850005,92.79425,town,57011,1,0
LMD,Lumding,Assam,25.749201,93.181358,rail_head,25000,0,0
MKG,Mokokchung,Nagaland,26.324474,94.517254,town,35913,1,0
NGN,Nagaon,Assam,26.348057,92.683792,city,147231,1,1
NHL,Naharlagun,Arunachal Pradesh,27.100731,93.687375,town,37000,0,0
NLB,Nalbari,Assam,26.450586,91.458742,town,38442,1,0
NLK,North Lakhimpur,Assam,27.234018,94.102238,town,60895,1,0
NMS,Namsai,Arunachal Pradesh,27.668369,95.882347,town,18000,0,0
PDU,Pandu,Assam,26.181087,91.680036,iwt_terminal,20000,0,1
PSG,Pasighat,Arunachal Pradesh,28.071068,95.322576,town,24656,1,0
SCR,Silchar,Assam,24.831323,92.801997,city,178865,1,1
SHL,Shillong,Meghalaya,25.610849,91.87387,city,143229,1,1
SLG,Siliguri,West Bengal,26.720278,88.37768,gateway,509709,1,1
SVS,Sivasagar,Assam,26.996523,94.644829,town,53854,1,0
TSK,Tinsukia,Assam,27.487251,95.368404,city,116218,1,0
TUR,Tura,Meghalaya,25.514479,90.213025,town,74858,1,0
TWG,Tawang,Arunachal Pradesh,27.573475,91.851244,town,11202,0,0
TZP,Tezpur,Assam,26.627935,92.796997,city,58851,1,0
UDP,Udaipur,Tripura,23.543986,91.482423,town,32758,1,0
WKH,Wokha,Nagaland,26.108554,94.25373,town,35004,0,0
ZRO,Ziro,Arunachal Pradesh,27.646155,93.871581,town,13905,0,0
n10029435603,n10029435603,,26.72336,94.128564,junction,0,0,0
n10045466628,n10045466628,,24.843589,92.405138,junction,0,0,0
n10083647515,n10083647515,,26.333835,88.935124,junction,0,0,0
n10083658519,n10083658519,,26.336361,88.93669,junction,0,0,0
n10106865512,n10106865512,,24.70389,92.293907,junction,0,0,0
n1013084171,n1013084171,,27.358739,95.340308,junction,0,0,0
n10133380464,n10133380464,,25.929848,94.164806,junction,0,0,0
n10155070562,n10155070562,,27.594149,95.774307,junction,0,0,0
n10155070585,n10155070585,,27.593902,95.786429,junction,0,0,0
n10158835784,n10158835784,,26.974294,93.638766,junction,0,0,0
n1015933190,n1015933190,,27.463846,95.363023,junction,0,0,0
n1015933192,n1015933192,,27.480475,95.362811,junction,0,0,0
n1015933220,n1015933220,,27.455718,95.358104,junction,0,0,0
n10213828706,n10213828706,,24.04595,91.592599,junction,0,0,0
n10214421941,n10214421941,,23.966991,91.385792,junction,0,0,0
n10216581821,n10216581821,,24.041102,91.575194,junction,0,0,0
n10246471099,n10246471099,,27.353969,95.646521,junction,0,0,0
n10248662682,n10248662682,,27.501387,95.266328,junction,0,0,0
n10250450247,n10250450247,,27.001833,93.902001,junction,0,0,0
n10250450248,n10250450248,,27.001218,93.901272,junction,0,0,0
n10250451041,n10250451041,,27.573952,95.36931,junction,0,0,0
n10255327242,n10255327242,,27.073411,93.838976,junction,0,0,0
n10262279665,n10262279665,,24.748472,93.875116,junction,0,0,0
n10262284811,n10262284811,,24.727946,93.849779,junction,0,0,0
n10264865634,n10264865634,,24.526996,94.024291,junction,0,0,0
n10265667796,n10265667796,,24.66206,93.976033,junction,0,0,0
n10265688213,n10265688213,,24.612463,94.02484,junction,0,0,0
n10265749517,n10265749517,,24.631499,94.008771,junction,0,0,0
n10266912010,n10266912010,,24.009729,91.840711,junction,0,0,0
n10272701331,n10272701331,,24.195284,91.830948,junction,0,0,0
n10272734400,n10272734400,,24.204759,91.842123,junction,0,0,0
n10275531092,n10275531092,,24.820092,92.598692,junction,0,0,0
n10277702327,n10277702327,,24.558451,92.596561,junction,0,0,0
n10290751771,n10290751771,,27.559985,95.596316,junction,0,0,0
n10290865162,n10290865162,,27.614779,95.582649,junction,0,0,0
n10292560834,n10292560834,,24.046115,91.594408,junction,0,0,0
n10300198982,n10300198982,,23.908424,92.447644,junction,0,0,0
n10302235707,n10302235707,,27.121245,93.878134,junction,0,0,0
n10304096999,n10304096999,,26.663836,93.864888,junction,0,0,0
n10304104605,n10304104605,,26.719188,93.980616,junction,0,0,0
n10308074904,n10308074904,,23.770969,91.84411,junction,0,0,0
n10308421462,n10308421462,,23.682604,91.349819,junction,0,0,0
n10308693457,n10308693457,,23.650976,91.210082,junction,0,0,0
n10310636689,n10310636689,,24.548641,92.442817,junction,0,0,0
n10316090575,n10316090575,,25.914046,93.665617,junction,0,0,0
n10316091548,n10316091548,,24.076343,91.62183,junction,0,0,0
n10316679681,n10316679681,,23.605626,91.817778,junction,0,0,0
n10316737913,n10316737913,,23.61141,91.818965,junction,0,0,0
n10316796037,n10316796037,,23.602371,91.815429,junction,0,0,0
n10536208468,n10536208468,,24.74062,92.43106,junction,0,0,0
n10536208503,n10536208503,,24.744296,92.424042,junction,0,0,0
n10536208527,n10536208527,,24.748919,92.422936,junction,0,0,0
n10536208542,n10536208542,,24.754768,92.414919,junction,0,0,0
n10536208546,n10536208546,,24.757622,92.413192,junction,0,0,0
n10536274640,n10536274640,,23.600004,91.806401,junction,0,0,0
n10536274675,n10536274675,,23.593877,91.800314,junction,0,0,0
n10536337108,n10536337108,,23.496628,91.691394,junction,0,0,0
n10536341847,n10536341847,,23.505763,91.699349,junction,0,0,0
n10538897392,n10538897392,,23.615795,91.819658,junction,0,0,0
n10542401530,n10542401530,,23.508359,91.704105,junction,0,0,0
n10542441849,n10542441849,,24.590978,92.41358,junction,0,0,0
n10542636435,n10542636435,,23.52023,91.718502,junction,0,0,0
n10542793530,n10542793530,,24.584414,92.487455,junction,0,0,0
n10548372060,n10548372060,,23.519924,91.728115,junction,0,0,0
n10548518804,n10548518804,,24.142873,92.123503,junction,0,0,0
n10548518805,n10548518805,,24.142145,92.123722,junction,0,0,0
n10548663503,n10548663503,,23.676189,91.360936,junction,0,0,0
