place_id,name,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec,index_jan,index_feb,index_mar,index_apr,index_may,index_jun,index_jul,index_aug,index_sep,index_oct,index_nov,index_dec
GAU,Guwahati,0.24,0.75,1.91,7.67,9.23,12.46,11.73,9.21,7.6,4.36,0.45,0.27,0.0125,0.0392,0.0998,0.4007,0.4822,0.651,0.6129,0.4812,0.3971,0.2278,0.0235,0.0141
JGP,Jogighopa,0.24,0.66,1.64,7.36,9.92,13.43,13.11,10.12,9.18,5.15,0.33,0.18,0.0125,0.0345,0.0857,0.3845,0.5183,0.7017,0.685,0.5287,0.4796,0.2691,0.0172,0.0094
PDU,Pandu,0.24,0.75,1.91,7.67,9.23,12.46,11.73,9.21,7.6,4.36,0.45,0.27,0.0125,0.0392,0.0998,0.4007,0.4822,0.651,0.6129,0.4812,0.3971,0.2278,0.0235,0.0141
DBR,Dhubri,0.22,0.52,1.31,5.79,9.22,12.98,13.52,10.62,10.76,5.54,0.26,0.12,0.0115,0.0272,0.0684,0.3025,0.4817,0.6782,0.7064,0.5549,0.5622,0.2894,0.0136,0.0063
BNG,Bongaigaon,0.2,0.62,1.59,7.29,9.65,12.7,12.93,9.88,8.74,4.66,0.3,0.13,0.0104,0.0324,0.0831,0.3809,0.5042,0.6635,0.6755,0.5162,0.4566,0.2435,0.0157,0.0068
GLP,Goalpara,0.24,0.66,1.64,7.36,9.92,13.43,13.11,10.12,9.18,5.15,0.33,0.18,0.0125,0.0345,0.0857,0.3845,0.5183,0.7017,0.685,0.5287,0.4796,0.2691,0.0172,0.0094
BPT,Barpeta,0.21,0.68,1.72,7.74,9.29,11.98,11.3,8.8,7.31,4.15,0.38,0.17,0.011,0.0355,0.0899,0.4044,0.4854,0.6259,0.5904,0.4598,0.3819,0.2168,0.0199,0.0089
NLB,Nalbari,0.21,0.68,1.72,7.74,9.29,11.98,11.3,8.8,7.31,4.15,0.38,0.17,0.011,0.0355,0.0899,0.4044,0.4854,0.6259,0.5904,0.4598,0.3819,0.2168,0.0199,0.0089
NGN,Nagaon,0.26,0.7,1.66,6.02,7.63,9.43,9.34,7.74,6.51,3.17,0.62,0.27,0.0136,0.0366,0.0867,0.3145,0.3986,0.4927,0.488,0.4044,0.3401,0.1656,0.0324,0.0141
TZP,Tezpur,0.26,0.7,1.66,6.02,7.63,9.43,9.34,7.74,6.51,3.17,0.62,0.27,0.0136,0.0366,0.0867,0.3145,0.3986,0.4927,0.488,0.4044,0.3401,0.1656,0.0324,0.0141
