u,v,mode,distance_km,terrain,route_ref,lanes,highway,bridge,tunnel,surface,osm_way_id
s245753371,n5443285696,road,9.74,plain,access,1,access,0,0,,0
s245755204,n5443196340,road,6.98,plain,access,1,access,0,0,,0
s245756182,n3675635796,road,2.21,plain,access,1,access,0,0,,0
s245758625,n7206704689,road,3.38,plain,access,1,access,0,0,,0
s245761427,n2463753376,road,3.37,plain,access,1,access,0,0,,0
s245761773,n835160429,road,9.67,plain,access,1,access,0,0,,0
s245764243,n835236798,road,5.26,plain,access,1,access,0,0,,0
s342097760,TWG,road,2.73,plain,access,1,access,0,0,,0
s342097944,n2463233843,road,4.2,plain,access,1,access,0,0,,0
s342097955,n3007271430,road,4.74,plain,access,1,access,0,0,,0
s342097975,n3007271430,road,4.1,plain,access,1,access,0,0,,0
s342098016,n1463090962,road,3.93,plain,access,1,access,0,0,,0
s342098096,n2463277463,road,4.99,plain,access,1,access,0,0,,0
s342098150,n2463277836,road,4.8,plain,access,1,access,0,0,,0
s342098160,n2463278738,road,5.48,plain,access,1,access,0,0,,0
s342098262,n2463227466,road,14.38,plain,access,1,access,0,0,,0
s342098270,n2463227466,road,19.87,plain,access,1,access,0,0,,0
s342098872,n3176054721,road,5.5,plain,access,1,access,0,0,,0
s342098886,n3176054721,road,12.12,plain,access,1,access,0,0,,0
s342098942,n3176058965,road,19.51,plain,access,1,access,0,0,,0
s342099065,n342099041,road,5.4,plain,access,1,access,0,0,,0
s342099080,n2463715273,road,2.88,plain,access,1,access,0,0,,0
s342099167,n1821511784,road,2.86,plain,access,1,access,0,0,,0
s342100211,n3176043408,road,10.03,plain,access,1,access,0,0,,0
s342100394,n3176072973,road,8.59,plain,access,1,access,0,0,,0
s342101230,n2463594422,road,2.7,plain,access,1,access,0,0,,0
s832676201,n3959120551,road,3.6,plain,access,1,access,0,0,,0
s835236050,n2335379379,road,4.1,plain,access,1,access,0,0,,0
s1185177134,n1185176969,road,4.17,plain,access,1,access,0,0,,0
s1185177423,n1185176969,road,6.16,plain,access,1,access,0,0,,0
s1185179983,n1185176969,road,13.8,plain,access,1,access,0,0,,0
s1185182418,n1185176969,road,8.5,plain,access,1,access,0,0,,0
s1296581671,n3878170990,road,2.11,plain,access,1,access,0,0,,0
s1404297652,n5228172254,road,21.75,plain,access,1,access,0,0,,0
s1437215870,n6268442132,road,2.25,plain,access,1,access,0,0,,0
s1698582154,NMS,road,2.81,plain,access,1,access,0,0,,0
s1740001999,n835160408,road,3.09,plain,access,1,access,0,0,,0
s1740009465,n835159834,road,4.83,plain,access,1,access,0,0,,0
s2463596060,n2463594294,road,3.43,plain,access,1,access,0,0,,0
s2463602631,n3176093870,road,3.42,plain,access,1,access,0,0,,0
s2529834311,n3007271430,road,10.65,plain,access,1,access,0,0,,0
s2529834604,n3007271430,road,13.16,plain,access,1,access,0,0,,0
s2531348902,n2463227579,road,5.99,plain,access,1,access,0,0,,0
s3017246155,n1698434987,road,3.65,plain,access,1,access,0,0,,0
s3018801081,n2463277836,road,10.61,plain,access,1,access,0,0,,0
s3477032980,n3176072975,road,8.33,plain,access,1,access,0,0,,0
s3703264834,n3703192980,road,2.21,plain,access,1,access,0,0,,0
s4040470091,n3877610763,road,5.73,plain,access,1,access,0,0,,0
s4041269232,n3877648331,road,26.26,plain,access,1,access,0,0,,0
s4041862409,n2463754150,road,14.97,plain,access,1,access,0,0,,0
s4192814115,n3179739996,road,2.97,plain,access,1,access,0,0,,0
s4192815435,n4193528572,road,2.69,plain,access,1,access,0,0,,0
s4193225242,n3179739996,road,2.84,plain,access,1,access,0,0,,0
s4193225243,n3179739996,road,3.01,plain,access,1,access,0,0,,0
s4193225244,n3179739996,road,3.72,plain,access,1,access,0,0,,0
s4193225407,n3179739570,road,4.05,plain,access,1,access,0,0,,0
s4193225429,n3179739570,road,2.39,plain,access,1,access,0,0,,0
s4193225804,n3179739570,road,2.05,plain,access,1,access,0,0,,0
s4194547377,n3179739570,road,2.51,plain,access,1,access,0,0,,0
s4194548238,n3179739570,road,4.96,plain,access,1,access,0,0,,0
s4194548239,n3179739570,road,3.24,plain,access,1,access,0,0,,0
s4194568182,n4194569457,road,2.74,plain,access,1,access,0,0,,0
s4485112204,n8890657875,road,3.48,plain,access,1,access,0,0,,0
s4486210017,n4643790795,road,2.3,plain,access,1,access,0,0,,0
s4621726549,n2463629447,road,16.42,plain,access,1,access,0,0,,0
s4621727647,n3175965095,road,20.84,plain,access,1,access,0,0,,0
s4621727722,n2463654457,road,4.8,plain,access,1,access,0,0,,0
s4621727741,n2463654535,road,6.91,plain,access,1,access,0,0,,0
s4621735951,n2463654457,road,11.08,plain,access,1,access,0,0,,0
s4621736018,n2463629447,road,5.58,plain,access,1,access,0,0,,0
s4622774785,n4622774589,road,4.27,plain,access,1,access,0,0,,0
s4622775248,n2463654457,road,4.7,plain,access,1,access,0,0,,0
s4622776537,n6268440829,road,14.25,plain,access,1,access,0,0,,0
s4622794900,n4643790795,road,2.42,plain,access,1,access,0,0,,0
s4634003626,n3176054713,road,16.51,plain,access,1,access,0,0,,0
s4643418242,n3176058965,road,16.78,plain,access,1,access,0,0,,0
s4643418389,n3176058965,road,24.74,plain,access,1,access,0,0,,0
s4643418603,n3176058965,road,26.52,plain,access,1,access,0,0,,0
s4643418662,n3176058965,road,23.41,plain,access,1,access,0,0,,0
s4643429878,n8318563341,road,3.82,plain,access,1,access,0,0,,0
s4643992463,n5443289005,road,26.77,plain,access,1,access,0,0,,0
s4643995504,n5443289005,road,24.59,plain,access,1,access,0,0,,0
s4644007876,n4646200593,road,5.61,plain,access,1,access,0,0,,0
s4646200610,n4646200593,road,6.61,plain,access,1,access,0,0,,0
s4646200672,n4646200593,road,4.14,plain,access,1,access,0,0,,0
s4646200893,n4646200593,road,6.81,plain,access,1,access,0,0,,0
s4646234749,n3941366657,road,4.24,plain,access,1,access,0,0,,0
s4646235605,n3941366657,road,8.35,plain,access,1,access,0,0,,0
s4646235664,n3941366657,road,9.57,plain,access,1,access,0,0,,0
s4646235673,n5443196345,road,6.05,plain,access,1,access,0,0,,0
s4646244974,n4324640181,road,2.68,plain,access,1,access,0,0,,0
s4646318907,n4646200593,road,4.52,plain,access,1,access,0,0,,0
s4646321042,n4646200593,road,10.19,plain,access,1,access,0,0,,0
s4646450437,n3940789882,road,3.31,plain,access,1,access,0,0,,0
s4646478502,n3940781754,road,10.47,plain,access,1,access,0,0,,0
s4646478512,n3940781754,road,18.5,plain,access,1,access,0,0,,0
s4650951737,n3959120551,road,15.91,plain,access,1,access,0,0,,0
s4650975506,n3959122329,road,16.78,plain,access,1,access,0,0,,0
s4650997500,n3959122329,road,13.48,plain,access,1,access,0,0,,0
s4651014017,n3959122329,road,10.2,plain,access,1,access,0,0,,0
s4652231150,n3959122329,road,17.15,plain,access,1,access,0,0,,0
s4652264391,n3959122329,road,17.33,plain,access,1,access,0,0,,0
s4652412468,n3959122329,road,8.4,plain,access,1,access,0,0,,0
s4652412492,n3959122329,road,8.21,plain,access,1,access,0,0,,0
s4658376613,n5443824131,road,3.98,plain,access,1,access,0,0,,0
s4658410619,n8211834970,road,20.98,plain,access,1,access,0,0,,0
s4658534707,n8211834970,road,20.8,plain,access,1,access,0,0,,0
s4658564869,n835188949,road,2.6,plain,access,1,access,0,0,,0
s4658586779,n835189752,road,3.47,plain,access,1,access,0,0,,0
s4658586783,n3890098212,road,4.38,plain,access,1,access,0,0,,0
s4658587428,n8211834970,road,16.94,plain,access,1,access,0,0,,0
s4658587514,n3890098212,road,6.13,plain,access,1,access,0,0,,0
s4694758311,n7206705199,road,13.07,plain,access,1,access,0,0,,0
s4694758323,n7206705199,road,14.81,plain,access,1,access,0,0,,0
s4694758435,n7206705199,road,16.08,plain,access,1,access,0,0,,0
s4694758437,n7206705209,road,6.41,plain,access,1,access,0,0,,0
s4694758447,n7206705199,road,14.38,plain,access,1,access,0,0,,0
s4694758460,n7206705199,road,20.55,plain,access,1,access,0,0,,0
s4694758616,n7206705199,road,25.14,plain,access,1,access,0,0,,0
s4694759412,n7206704704,road,11.77,plain,access,1,access,0,0,,0
s4694759431,n7206705199,road,6.13,plain,access,1,access,0,0,,0
s4694759455,n7206705209,road,9.02,plain,access,1,access,0,0,,0
s4694759707,n7206705199,road,5.22,plain,access,1,access,0,0,,0
s4694759783,n7206705199,road,21.34,plain,access,1,access,0,0,,0
s4694759889,n7206704704,road,11.3,plain,access,1,access,0,0,,0
s4694767073,n7206705199,road,25.37,plain,access,1,access,0,0,,0
s4694774512,n7206705199,road,26.97,plain,access,1,access,0,0,,0
s4694774563,n7206705199,road,22.38,plain,access,1,access,0,0,,0
s4694774662,n7206705199,road,25.64,plain,access,1,access,0,0,,0
s4967349522,n3940781754,road,9.13,plain,access,1,access,0,0,,0
s4967349523,n3940781754,road,6.26,plain,access,1,access,0,0,,0
s5021583941,n1698434919,road,7.62,plain,access,1,access,0,0,,0
s5021583942,n1698495015,road,3.71,plain,access,1,access,0,0,,0
s5021583944,n5444825524,road,22.97,plain,access,1,access,0,0,,0
s5021583947,n1698495015,road,6.18,plain,access,1,access,0,0,,0
s5170680159,n3454892796,road,2.33,plain,access,1,access,0,0,,0
s5187607448,n3940781754,road,16.27,plain,access,1,access,0,0,,0
s5187607453,n3940781754,road,6.01,plain,access,1,access,0,0,,0
s5187607828,n3940781754,road,24.4,plain,access,1,access,0,0,,0
s5187607829,n3940781754,road,16.28,plain,access,1,access,0,0,,0
s5228170550,PSG,road,2.24,plain,access,1,access,0,0,,0
s5314369747,n2463277836,road,9.05,plain,access,1,access,0,0,,0
s5329822669,n3176072973,road,3.63,plain,access,1,access,0,0,,0
s5338961886,n3908989762,road,9.0,plain,access,1,access,0,0,,0
s5409179577,n2463226845,road,8.02,plain,access,1,access,0,0,,0
s5409193593,n2463227579,road,2.54,plain,access,1,access,0,0,,0
s5409193745,n2463227579,road,7.23,plain,access,1,access,0,0,,0
s5409200233,n2519160722,road,4.65,plain,access,1,access,0,0,,0
s5409330579,n1463091034,road,5.22,plain,access,1,access,0,0,,0
s5411236851,n7206705199,road,25.67,plain,access,1,access,0,0,,0
s5411239609,n7206705199,road,11.89,plain,access,1,access,0,0,,0
s5411239940,n7206705199,road,11.76,plain,access,1,access,0,0,,0
s5411240009,n7206705199,road,16.56,plain,access,1,access,0,0,,0
s5411250783,n7206705199,road,5.01,plain,access,1,access,0,0,,0
s5411251101,n7206705199,road,4.84,plain,access,1,access,0,0,,0
s5411251164,n7206705199,road,8.73,plain,access,1,access,0,0,,0
s5411251241,n7206705199,road,16.78,plain,access,1,access,0,0,,0
s5411308780,n10845972441,road,11.39,plain,access,1,access,0,0,,0
s5411308786,n10845972370,road,17.73,plain,access,1,access,0,0,,0
s5432467619,n3877648331,road,24.06,plain,access,1,access,0,0,,0
s5432491138,n1698495570,road,18.77,plain,access,1,access,0,0,,0
s5432491191,n1698495570,road,15.65,plain,access,1,access,0,0,,0
s5432491195,n2463277836,road,13.99,plain,access,1,access,0,0,,0
s5638386699,n3176072975,road,24.03,plain,access,1,access,0,0,,0
s5638388693,n3940781754,road,21.44,plain,access,1,access,0,0,,0
s5797143746,n3940835308,road,14.28,plain,access,1,access,0,0,,0
s5880408167,n2463227579,road,2.57,plain,access,1,access,0,0,,0
s5935645932,n4646200593,road,19.65,plain,access,1,access,0,0,,0
s5935670125,n3940835308,road,17.09,plain,access,1,access,0,0,,0
s5935670290,n3940835308,road,11.23,plain,access,1,access,0,0,,0
s6151697254,n5443289005,road,23.26,plain,access,1,access,0,0,,0
s6151697255,n5443289005,road,19.67,plain,access,1,access,0,0,,0
s6151697432,n5443285696,road,13.39,plain,access,1,access,0,0,,0
s6151697433,n5443285696,road,15.95,plain,access,1,access,0,0,,0
s6151697434,n5443285696,road,22.16,plain,access,1,access,0,0,,0
s6151697435,n5443285696,road,24.77,plain,access,1,access,0,0,,0
s6270119936,n10158835784,road,3.05,plain,access,1,access,0,0,,0
s6270120052,n1431589497,road,3.28,plain,access,1,access,0,0,,0
s6426787788,n5443285696,road,2.27,plain,access,1,access,0,0,,0
s6800141402,n6800141481,road,2.6,plain,access,1,access,0,0,,0
s6815349786,n2463754150,road,23.31,plain,access,1,access,0,0,,0
s6815349787,n3175920440,road,8.8,plain,access,1,access,0,0,,0
s6815349886,n2463753117,road,18.08,plain,access,1,access,0,0,,0
s6815355785,n3175965095,road,5.97,plain,access,1,access,0,0,,0
s6815418387,n835236800,road,24.96,plain,access,1,access,0,0,,0
s6815432585,n2463653710,road,5.77,plain,access,1,access,0,0,,0
s6815657487,n3178199100,road,9.99,plain,access,1,access,0,0,,0
s6815667885,n3176093865,road,4.85,plain,access,1,access,0,0,,0
s6815667985,n3176055376,road,2.58,plain,access,1,access,0,0,,0
s6815696385,n9212884877,road,4.27,plain,access,1,access,0,0,,0
s6815871086,n3178209387,road,7.01,plain,access,1,access,0,0,,0
s6815893085,n3877536812,road,4.9,plain,access,1,access,0,0,,0
s6815893185,n3703358669,road,5.72,plain,access,1,access,0,0,,0
s6815895088,n3940781754,road,25.89,plain,access,1,access,0,0,,0
s6815926385,n3877610763,road,5.73,plain,access,1,access,0,0,,0
s6815949187,n3877591968,road,3.18,plain,access,1,access,0,0,,0
s6816012387,n8211834970,road,10.12,plain,access,1,access,0,0,,0
s6816114885,n3959122329,road,8.16,plain,access,1,access,0,0,,0
s6876122351,n5443289005,road,7.42,plain,access,1,access,0,0,,0
s6876122387,n5443289005,road,11.92,plain,access,1,access,0,0,,0
s6876122404,n5443289005,road,10.56,plain,access,1,access,0,0,,0
s6876126287,n4324640181,road,10.92,plain,access,1,access,0,0,,0
s6876126305,n4324640181,road,16.42,plain,access,1,access,0,0,,0
s6876126313,n4324640181,road,20.49,plain,access,1,access,0,0,,0
s6876126325,n5443289005,road,23.02,plain,access,1,access,0,0,,0
s6876126357,n5443289005,road,17.11,plain,access,1,access,0,0,,0
s6877908204,n5443289005,road,3.08,plain,access,1,access,0,0,,0
s6877908205,n5443289005,road,2.7,plain,access,1,access,0,0,,0
s6877908235,n5443196345,road,7.12,plain,access,1,access,0,0,,0
s6877930993,n5443289005,road,15.96,plain,access,1,access,0,0,,0
s6877931037,n5443289005,road,18.17,plain,access,1,access,0,0,,0
s6877941535,n5443289005,road,25.38,plain,access,1,access,0,0,,0
s6877941550,n5443289005,road,26.08,plain,access,1,access,0,0,,0
s6877970774,n6800141481,road,17.88,plain,access,1,access,0,0,,0
s6877970775,n6800141481,road,15.77,plain,access,1,access,0,0,,0
s6878021258,n5443196340,road,10.17,plain,access,1,access,0,0,,0
