node_id,name,kind,population,population_known
AGT,Krishna Nagar,suburb,0,0
AZL,Aizawl,city,291822,1
CCP,Bungmual,village,4500,1
CHP,Zotlang,village,0,0
DBG,Dibrugarh,city,140000,1
DPU,Diphu,town,0,0
GAU,Jyotikuchi,suburb,0,0
GLG,Golaghat,city,60782,1
GTK,Gangtok,city,100300,1
HFL,Retzol,village,0,0
IMP,Imphal,city,500000,1
ITN,Doni Colony,village,0,0
JGP,Jogighopa,village,0,0
JWI,Jowai,town,5000,1
KHM,Phesama,village,0,0
KRJ,Karimganj,town,0,0
LGL,Theriat,village,0,0
LMD,Lumding,town,31347,1
MKG,Mokokchung,town,35913,1
NGN,Nagaon,city,117700,1
NHL,Naharlagun,town,0,0
NLK,North Lakhimpur,town,50000,1
NMS,Nongkham,village,0,0
SLG,Matigara,suburb,0,0
TSK,Tinsukia,town,10000,1
TUR,Tura,town,5000,1
TWG,Famla,village,0,0
TZP,Tezpur,town,5000,1
UDP,Udaipur,town,37781,1
WKH,Wokha,town,35004,1
ZRO,Silyo,hamlet,0,0
n10106865512,Billbari,hamlet,0,0
n10155070562,Tinalingaon,village,0,0
n10264865634,Koijam Maring,village,0,0
n10265667796,Chaobok,town,0,0
n10316679681,Gandacherra,town,10000,1
n10536208468,Sagarpar,hamlet,0,0
n10536208546,Buranga,hamlet,0,0
n10557043312,Nawājisnagar,hamlet,0,0
n10558774212,Anglabazar,hamlet,0,0
n10564426749,Thamua,hamlet,0,0
n10572259747,Lalpool,village,0,0
n10845972370,Nafra,town,0,0
n10867319160,Bumdirla,hamlet,0,0
n10892870784,Gohpur,town,0,0
n10972380780,Tsiemekhuma Basa,village,0,0
n11032046977,Karbook,village,0,0
n1118544427,Pecharthal,village,0,0
n1118544750,Panisagar,town,0,0
n1118584799,Khongsai Veng,suburb,0,0
n1118729593,Changliang,village,0,0
n1118732509,Laxmi Nagar,village,0,0
n1132321938,Kalchini,town,1000,1
n1132376303,Sukna Cantonment,suburb,0,0
n1132413540,Changrabandha,suburb,0,0
n1133013618,Galgalia,village,0,0
n1133695009,Malou Pahar,village,0,0
n1133695888,Bargolai,hamlet,0,0
n11357444667,Howraghat,village,0,0
n11511548232,吴旁,hamlet,0,0
n11665421894,Baghbor,village,0,0
n11829398739,Bagrakote,village,0,0
n1185178063,Yangse,village,0,0
n11871412310,Banchukamari,hamlet,0,0
n11887138344,Sherfanguri,village,0,0
n11917706361,Kajalgaon,town,0,0
n11926973525,Mānikpur,hamlet,0,0
n11926976110,Pānbāri,hamlet,0,0
n11926976685,Bānduguri,hamlet,0,0
n11935315896,Garubhāsa,village,0,0
n11982707862,Jalukbari,suburb,0,0
n12051472955,Kātāligaon,hamlet,0,0
n12072966690,Kheraikuchi,suburb,0,0
n12083846937,Dibong (Singpho Village),village,0,0
n12086064850,Islampur,village,0,0
n12086238930,Tālpātāgaon,hamlet,0,0
n12097804860,Sāpekhāti,hamlet,0,0
n12118121182,Khutākata,hamlet,0,0
n12128302701,Charāibāhi,hamlet,0,0
n12128302717,Gariāgaon,hamlet,0,0
n12133486640,Hollogaon,hamlet,0,0
n12188885953,Neepco Colony,hamlet,0,0
n12195811774,Molko,hamlet,0,0
n12216993186,Tibong,hamlet,0,0
n12269691195,Dhalchhara,hamlet,0,0
n12269700094,Dhalchhara,hamlet,0,0
n12269716950,Dhalchhara,hamlet,0,0
n12302763205,Kabairbond,hamlet,0,0
n12335680310,Lakhipur,hamlet,0,0
n12398775095,Billibari,hamlet,0,0
n12398783654,Raghurtuk,hamlet,0,0
n12398805010,Tukerbazar,hamlet,0,0
n12398816121,Isaganj,hamlet,0,0
n12398876999,Borchahaki,village,0,0
n12434556965,Thinghlun,hamlet,0,0
n12466572652,Holongi,village,0,0
n12466597220,Rajgorh,village,0,0
n12527860812,Dāoblibdīsa,hamlet,0,0
n1262084753,Betasing,village,0,0
n1262084969,Mendipathar,village,0,0
n1262085299,Singrimari,village,5000,1
n1296579094,Jairampur,town,0,0
n1296579156,Nampong,village,0,0
n1296579735,Namchik,village,0,0
n1296596611,Kamba,village,0,0
n1296646659,Badharghat,suburb,0,0
n1296646810,Kunjaban,suburb,0,0
n1296647009,Radha Nagar,suburb,0,0
n1299581260,Paltan Bazar,suburb,0,0
n13002309297,Āmbāri,hamlet,0,0
n1313341337,Biprit,hamlet,0,0
n1313341345,Baniatol,hamlet,0,0
n1313342221,Paschim Mankadanga,village,1011,1
n1313342222,Kundargoan,village,3306,1
n1313342838,Garnabari,village,224,1
n1313342998,Ghoramara,village,0,0
n1313343204,Deshbandhu Para,suburb,0,0
n1313343219,Matikunda,village,4529,1
n1313343221,Nanchankula,village,1700,1
n1313343280,Islampur,town,54340,1
n1313343282,Uttar Tuthipakar,village,529,1
n1313343361,Mela Math,suburb,0,0
n1313388957,Gunjaria,village,4470,1
n1313388981,Aliganj,village,0,0
n1313388993,Adhibasipara,hamlet,0,0
n1313389013,State Farm Colony,suburb,0,0
n1313389015,Illuabari,village,3921,1
n1313389031,Srikrishnapur,suburb,0,0
n1313389047,Dohaso,village,13323,1
n1313389180,Manikpur,village,3980,1
n1313389184,Ramganj,village,0,0
n1313389707,Dakshin Dhamargachh,village,0,0
n1313568860,Ghospukur,village,0,0
n1313569066,Phansidewa Hat,village,1000,1
n1313569273,Sitaguri,village,0,0
n1314432919,Tindharia,village,0,0
n1315563843,Siliguri,city,1572000,1
n1323790772,Phulbari,suburb,0,0
n1329755609,Darugiri,village,0,0
n1329756251,Dambo Rongjeng,village,0,0
n1329759680,Dudhnai,town,5000,1
n1344230878,Pankhabari,village,0,0
n1344373928,Mirik,town,0,0
n1345435465,Dudhia,village,0,0
n1345697449,Maynaguri,town,30490,1
n1345697589,Lataguri,village,0,0
n1345697825,Dhupguri,town,0,0
n1345733537,Gayerkata,village,0,0
n1346388174,Pātiladaha,hamlet,0,0
n1346388230,North Salmara,village,0,0
n1346434848,Patacharkuchi,village,0,0
n1347032651,Charāikhola,hamlet,0,0
n1347032657,Kokrajhar,town,0,0
n1347487501,Hamiltonganj,town,0,0
n1347487512,Dakshin Chakoakheti,hamlet,0,0
n1347487530,Rajabhatkhawa,village,0,0
n1347704800,Jayanti,village,0,0
n1347750879,Kamakhyaguri,town,0,0
n1347750931,Rasik Bil,hamlet,0,0
n1347751300,Kumargram,village,0,0
n1347779394,Laskarpara,suburb,0,0
n1348237444,Paren,village,0,0
n1348237595,Menglass Tea Garden,village,0,0
n1348237707,Jhalong,village,0,0
n1349065775,Baneshwar,village,0,0
n1349065959,Birpara,hamlet,0,0
n1349326438,Koch Bihar,city,106760,1
n1351480932,Goreswar,town,0,0
n1351480961,Naokata,village,0,0
n13525786506,B. Munpi,village,110,1
n1354934707,Bilasipara,town,0,0
n1354934773,Phutkibari,village,0,0
n1355287719,Dotma,village,0,0
n1355674134,Bāsugaon,village,0,0
n1355674645,New Bongaigon,suburb,0,0
n1356726182,Molcham,village,815,1
n1359960908,Khunamukh,village,0,0
n1359960948,Chutia,village,0,0
n1359960956,Jamugurihat,village,0,0
n1359961074,Bishwanath Charaili,town,0,0
n1364340436,Ananda Nagar,suburb,0,0
n1364588635,Rukimininagar,suburb,0,0
n1364608047,Hengrabari,suburb,0,0
n13780340168,Malangi Tea Garden,village,0,0
n1403967946,Pathsala,town,0,0
n1404298037,Miao,town,0,0
n1412092843,Dangra Dangri,village,0,0
n1412092943,Fatehabad,village,0,0
n1425144163,Khangshim,village,0,0
n1425144171,Kakching,town,0,0
n1425144199,Uchiwa,village,3783,1
n1425144202,Mayang Imphal,village,0,0
n1435225985,Seren,village,0,0
n1435440731,Sisi Bargaon,village,5000,1
n1435440734,Likabali,village,0,0
n1437216069,巴麦,village,0,0
n1449670767,Lautisi,hamlet,0,0
n1463090962,Yabab,hamlet,0,0
n1463091034,Thirlam,hamlet,0,0
n1463091929,Sirdi,village,0,0
n1472750636,Salema,village,0,0
n1477924176,Sangkalang,village,0,0
n1477987346,Melli Bāzār,suburb,0,0
n1477987372,Phong,village,0,0
n1495287202,Borhowa,hamlet,0,0
n1495483960,Gingia,village,0,0
n1516328259,Khowai,town,0,0
n1596351004,Rabindrapur,village,0,0
n1596351205,Panitanki,town,0,0
n1600752221,Kajoli,village,0,0
n1600752242,Bura Mayang,village,0,0
n1600752246,মায়ং,village,0,0
n1621474344,Sonapur,village,2320,1
n1621474935,Dudpatil,suburb,0,0
n1621474982,Pānigrām,hamlet,0,0
n1636922907,Kāsomārigaon,village,0,0
n1668477077,Borghat,village,0,0
n1668477348,Rupahi,village,0,0
n1668496656,Rangapara,town,0,0
n1676604100,Harmutigaon,village,0,0
n1676938852,Simaluguri,village,0,0
n1676939136,Chengdharagaon,hamlet,0,0
n1676939158,Rajgarh Chariali,village,0,0
n1676939159,Borkhola,suburb,0,0
n1676970400,Mandia,village,0,0
n1683315334,Kyangsala,village,0,0
n1683573506,Lengpui,town,0,0
n1692786572,Nirjuli,suburb,0,0
n1696836975,Yupia,village,0,0
n1698245595,Pan Bazar,suburb,0,0
n1698434486,Chitre basti,village,0,0
n1698434919,Tenga,village,0,0
n1698495015,Rupa,town,0,0
n1698495570,Salari,village,0,0
n1699645897,Romdum,village,0,0
n1699645904,Mebo,town,0,0
n1699646033,Silluk,village,0,0
n1699646116,博马科,village,0,0
n1699697363,Aohali Pobleng,village,0,0
n1699697456,Dambuk,town,0,0
n1722857685,Lamshang,village,0,0
n1722857700,Kharang Koireng,village,1303,1
n1722857719,Kharam Thadoi,hamlet,159,1
n1722857757,Kanto,village,977,1
n1722857778,Leimakhong,town,3544,1
n1722857858,Khunkhu Naga,village,798,1
n1786434999,Rupaichhari,village,0,0
n1795605123,Siaha,town,5000,1
n1795712208,Tuipang,town,0,0
n1795712455,Tisi,village,0,0
n1795719080,Seling,village,0,0
n1802870518,Tirap,suburb,0,0
n1810911611,Bishwanath Ghat,village,0,0
n1811241144,Moreh,town,15000,1
n1811322234,Marigaon,town,5000,1
n1811322236,Kamalabari,suburb,0,0
n1811322239,Kahibari,town,0,0
n1811322261,Tamulibari,village,0,0
n1811322293,Bhuragaon,town,0,0
n1811322588,Dibāng Chāpari,hamlet,0,0
n1811387541,Williamnagar,town,0,0
n1811463215,Barangajuli,village,0,0
n1811698417,Tufanganj,town,0,0
n1811823755,Dewanganj,village,0,0
n1811823832,Anguldekha,village,0,0
n1811823845,Haldibari,town,0,0
n1821511784,Ranaghat,hamlet,0,0
n1848134155,Sinzawl,village,0,0
n1848135971,Muolvaiphei,village,0,0
n1848135982,Rengkai,town,8293,1
n1848135992,Khumujamba Leikaii,suburb,0,0
n1848136381,Yaingangpokpi,village,500,1
n1848136383,Sikibung,village,1084,1
n1848136492,Lungphu,village,776,1
n1848137167,Lakhamai,village,4822,1
n1848137251,Jessami,town,0,0
n1848777309,Kaochao 'E',village,0,0
n1848821189,Pala,village,0,0
n1848821514,No-aotlah,village,0,0
n1848821764,Saikao,village,0,0
n1858242057,Bishalgarh,town,0,0
n1880368236,Pātiladaha,hamlet,0,0
n1880368273,Paschim Jitpur,hamlet,0,0
n1880382265,Dakshin Kantadighi Kumarpara,village,0,0
n1880382314,Kantadighi Kumarpara,village,0,0
n1884960404,Malek,village,0,0
n1884960442,Roing,town,0,0
n1884960489,Bomjir,village,0,0
n1939422436,Nimati,village,0,0
n1939438876,Kumar Gaon,village,0,0
n1939485065,Lahdoigarh,village,0,0
n1986849200,贡岗,village,0,0
n1987687456,Rowriah/ jail Road Area,suburb,0,0
n1987687546,Dhalājān,hamlet,0,0
n1987718922,Macharhat,suburb,0,0
n1987948515,Titabor,town,0,0
n1988646265,Chamurchi,village,0,0
n2035724199,Pratapi Para,hamlet,0,0
n2035724236,Bikrampur,hamlet,0,0
n2035724347,Kirishanpur,hamlet,0,0
n2035724540,Tarapur,suburb,0,0
n2051081415,Longai,hamlet,0,0
n2081914303,Algapur,village,0,0
n2081914312,Masimpur,village,0,0
n2081914809,Badarpur,town,0,0
n2081915069,Garerband,hamlet,0,0
n2081915097,Barākhola,hamlet,0,0
n2081966204,Laisong,village,0,0
n2083680172,Bairabi,town,0,0
n2084596680,Teikhang,village,0,0
n2084597038,Tuilaphai,village,0,0
n2084597051,Mahou,village,0,0
n2084597071,Wangoo,village,9148,1
n2084597157,Island,village,0,0
n2084597158,Nungourok,village,0,0
n2084597259,Ankhasuo,village,1841,1
n2084597265,Durgapur,village,434,1
n2084597284,Jakuradhor Part-1,village,1486,1
n2084597288,Guakhal,village,824,1
n2084597292,Borobekra,village,741,1
n2084597301,Chotobekra,village,1345,1
n2084663067,Sibong,village,0,0
n2084663102,Jouzangtek,village,391,1
n2084663524,Jampi,village,0,0
n2084663528,Middle Katang,hamlet,0,0
n2084692474,Siangai Namkao,village,0,0
n2084692480,K. Hengmol,village,0,0
n2084692485,L. Thingphai,village,189,1
n2084692486,Pinjang Gangluan Part IV,village,0,0
n2084692489,Gangluan,village,0,0
n2084877550,Nihokhu,village,0,0
n2084878568,Rengmapani,village,0,0
n2084956655,Kilo Old,village,0,0
n2084973724,Kongan,village,0,0
n2084974154,Santak,town,0,0
n2088368073,Banarhat,village,0,0
n2164024456,Udalguri,town,0,0
n2164024493,Mazbat,town,0,0
n2164024546,Khairabari,village,0,0
n2164024625,Bhairab Kund,village,0,0
n2164024770,巴勒姆,village,0,0
n2164275096,Majarbari Ghat,village,0,0
n2164879904,Tsiesema Bawe,village,0,0
n2305178803,Mangaldoi,town,25000,1
n2305975495,Mikirbheta,village,0,0
n2306119598,Missamari,suburb,0,0
n2308253319,Chunpura Gohāigaon,hamlet,0,0
n2309538309,Khimtāi,hamlet,0,0
n2309770355,Mirigaon,hamlet,0,0
n2314868582,Joypur,village,2491,1
n2314935071,Donangiaon,hamlet,0,0
n2314935116,Namrup,town,0,0
n2314935270,Phaltan Basti,village,0,0
n2314935278,Tipam Phake,village,0,0
n2316320019,Mariani,town,5000,1
n2316320757,Furkating,village,0,0
n2316321086,MOINAPARA,suburb,0,0
n2317301700,Gogamukh,town,0,0
n2319239248,Hathidhura,hamlet,0,0
n2328077755,Ghagra,hamlet,0,0
n2328235641,Telam Bédum,village,0,0
n2328235647,Lakhipur Bédum,village,0,0
n2328371496,Ratan,village,0,0
n2328371994,Bagiāelengi Satra,hamlet,0,0
n2329496025,Barpathar,town,0,0
n2329587358,Ranthali,village,0,0
n2329587597,Dhing,town,0,0
n2333029618,Rajbhawan,suburb,0,0
n2362861928,Bangaon,hamlet,0,0
n2364658268,Durpai,hamlet,0,0
n2364711962,Bhawanipur,town,0,0
n2364712076,Barpeta Road,town,0,0
n2364712178,Jārtāluk,hamlet,0,0
n2364712202,Sonbāri,hamlet,0,0
n2364712245,Salbari,village,0,0
n2364712278,Simlābāri,hamlet,0,0
n2364712290,Subankhata,village,0,0
n2365446798,Foskadanga,hamlet,0,0
n2365493082,Ghograpar,village,0,0
n2369274185,Borka,village,0,0
n2370824950,Kamalabari,town,0,0
n2373378856,Rongram,town,5000,1
n2375286645,Rupkalia,hamlet,0,0
n2375286688,Nagaon,hamlet,0,0
n2375286699,Wokha Garanga,hamlet,0,0
n2375286856,Barhalla,village,0,0
n2376217264,Khāgarijān No 1,hamlet,0,0
n2376217572,Merapani,town,0,0
n2376218186,Kamarbandha,hamlet,0,0
n2376219019,Kākadānga,hamlet,0,0
n2376219107,Nām Chungi,hamlet,0,0
n2376219198,Chungi,hamlet,0,0
n2380444086,Māgurmāri,hamlet,0,0
n2380445016,Kochugaon,village,0,0
n2381336709,Patharughat,village,0,0
n2381337775,Khairabari,town,0,0
n2383406992,Garhmari,village,0,0
n2383407025,Chaparmukh,village,0,0
n2383407026,Kakati Gaon,village,0,0
n2385333968,Kalaigaon,town,0,0
n2385334323,Bengbari,village,0,0
n2385334374,Paneri,village,0,0
n2387194438,Lakhipur,town,5000,1
n2387379080,Dīwāngaon,village,0,0
n2387379128,Dīwāngaon,hamlet,0,0
n2388581780,Deodia,village,0,0
n2388581840,Kaibatra,village,0,0
n2388582039,Jangraimukh,village,0,0
n2388582295,Dhakuakhana,village,0,0
n2389849093,Bihpuria,town,0,0
n2391090266,Pānbāri,hamlet,0,0
n2394032712,Kurijhār,village,0,0
n2394032742,Māyangpāra,hamlet,0,0
n2399678417,Dalāigaon,hamlet,0,0
n2399680672,Deosri,village,0,0
n2406555451,Disangpani,village,50000,1
n2406555735,Bogaigāon,village,0,0
n2406555878,Khowāng,village,0,0
n2406832512,Chintang Saddle,village,0,0
n2453324773,Amguri,town,0,0
n2453465536,Hālwāting,hamlet,0,0
n2453787921,Merangkong,village,0,0
n2453789204,Tsudikong,town,4416,1
n2453803866,Chuchuyimlang,village,0,0
n2454056910,Theiva,village,0,0
n2454064626,Amobyu Vaithie,village,0,0
n2454469669,Saikah 'L',village,500,1
n2454560369,Leite,village,5000,1
n2454639707,Pangzawl,village,0,0
n2455234815,Phaileng,village,0,0
n2455547720,Pherzawl,village,1558,1
n2455611820,Joutung,village,0,0
n2455649793,Leijangphai,village,801,1
n2455737612,Torbung,village,5139,1
n2455737681,Ningthoukhong,village,0,0
n2455738557,Nerhema,village,0,0
n2455738717,Botsa,village,0,0
n2455739363,Zunpha,village,0,0
n2455740106,Kandinu,village,0,0
n2455767779,Chukitong,village,0,0
n245703196,Khopai,village,0,0
n245712879,Serchhip,town,0,0
n245713434,Khawzawl,town,0,0
n245718886,Behiang,village,0,0
n245720344,Chandel,town,0,0
n245720793,Toupokpi,village,670,1
n245721623,Churachandpur,town,50000,1
n245722195,Sagang,village,5494,1
n245722676,Kumbi,village,0,0
n245724879,Dwarband,village,0,0
n245725007,Moragang,village,0,0
n245726890,Sawombung,village,0,0
n245727350,Ngarumphung,village,400,1
n245734694,Mairang,village,0,0
n245734725,Mawngap,village,0,0
n245734913,Nongstoin,town,0,0
n245736680,Cherano,village,5000,1
n245736763,Akhegwo,village,0,0
n245741477,Hojai,town,0,0
n245742040,Baghuliaghat,town,0,0
n245746382,Merapāni,hamlet,0,0
n245747168,Fakiragram,town,0,0
n245749456,Dāngāpāra,hamlet,0,0
n245749553,Dhamdhama,village,0,0
n245750491,Mahaliapara,village,0,0
n245751501,Bagdogra,town,0,0
n245752909,Goibarigoan,village,0,0
n245754786,Naryanpur,village,0,0
n245756019,Sapekhati Chāriali,hamlet,0,0
n245756087,Banderdeva,village,0,0
n245756196,Niz Lakuk,town,0,0
n245756784,Morān,town,0,0
n245756851,Pahumara,village,0,0
n245757368,Ghurania,hamlet,0,0
n245758716,Digboi,town,50000,1
n245761323,Dimow,village,2000,1
n245764416,Along,town,0,0
n245765431,Damroh,village,0,0
n2458530473,Lilong Chajing,village,0,0
n2459028343,Tellou,village,3328,1
n2459028911,Mongkot Chepu,village,676,1
n2459029135,Litan Sareikhong,village,1000,1
n2459029361,Chepu Yaolen,village,325,1
n2459029890,Ramva,village,1940,1
n2459083045,Kalhang Khullen,village,0,0
n2459083878,Chingjaroi Khullen,village,0,0
n2459084757,Kharasom,village,0,0
n2459238130,Meluri,town,0,0
n2459390094,Yingshukur,village,0,0
n2459392034,Waphur,village,0,0
n2459393316,Shangpu,village,0,0
n2459394026,Tuensang,town,0,0
n2461541978,Manu,town,0,0
n2461543334,Kumarghat,town,0,0
n2461543721,Churaibari,village,0,0
n2461559405,Ambassa,town,70000,1
n2461590040,Jirania,village,0,0
n2461590406,Teliamura,town,0,0
n2461590774,Mungiakami,village,0,0
n2461651941,Sabroom,town,0,0
n2461652793,Manu Bazar,village,0,0
n2461653370,Jolaibari,village,11800,1
n2461654957,Bishramganj,town,0,0
n2461989325,Dapchhuah,village,0,0
n2461994318,Mamit,town,0,0
n2462048830,Tukkaln,village,0,0
n2462049049,Chailengta,village,0,0
n2463170748,Tseretse,village,0,0
n2463233843,Yukmadung,village,0,0
n2463277084,Hawa Golai,hamlet,0,0
n2463277836,Dirang Dzong,village,0,0
n2463577661,Koronu,village,0,0
n2463594556,Rottung,village,0,0
n2463618261,Angu,village,0,0
n2463654457,卡罗姆,village,0,0
n2463654535,Maro,village,0,0
n2463754150,皮衣木克,village,0,0
n2463770993,Mudang Tage,village,0,0
n2463790687,Chod,hamlet,0,0
n2463790694,苏,village,0,0
n2463790889,Yazali,town,1768,1
n2463790943,杰特,hamlet,0,0
n2463791557,Yachuli,town,0,0
n2463791866,Joram,hamlet,0,0
n2463792539,Ziro,city,0,0
n2463824656,Jameri,hamlet,0,0
n2463824706,New Kaspi,hamlet,0,0
n2463837057,Seba,village,0,0
n2463837758,Kafla,village,0,0
n2463864246,科提普,village,0,0
n2463864878,Sagalee,village,0,0
n2464680891,Shantipur,village,0,0
n2465028551,Talap,town,0,0
n2465028612,Dangari,village,0,0
n2465029054,Dupāani Bargaon,hamlet,0,0
n2465087612,New Khamdu,village,0,0
n2465087658,Lekhapani,village,0,0
n2466195329,Chalsa,village,0,0
n2466235144,Adugiri,village,0,0
n2468512457,Kashibari,village,0,0
n2468512483,Paschim Mokarandapur,village,0,0
n2468512499,Jiakhuri,village,0,0
n2468512506,Sonapur,village,0,0
n2468740366,Durgāchhara,hamlet,0,0
n2468740561,Kayāng Deshwālibasti,hamlet,0,0
n2468742473,Wāphu,hamlet,0,0
n2468762902,Lungkhor,hamlet,0,0
n2468762922,Purāna Maibong,suburb,0,0
n2468762958,Maibong,town,0,0
n2468762970,Khāuthāmdīsa,hamlet,0,0
n2468763133,Mupa Hojāi,hamlet,0,0
n2469004460,Naksalbari,town,0,0
n2469684040,Chizami,town,0,0
n2469698539,Pfutsero Town,town,10371,1
n2469894553,Manja,town,0,0
n2469900718,Parkhowa Bazaar,village,0,0
n2469900731,Dengaon,village,0,0
n2491563762,Tuirial,hamlet,0,0
n2491830210,Kawnpui,village,0,0
n2491833905,'N' Thingdawl,village,0,0
n2491876699,Lala,town,0,0
n2491876709,Umednagar,village,0,0
n2491877281,Hailakandi,town,0,0
n2492599802,Bilkhawthlir,village,0,0
n2492601704,Phāisen,hamlet,0,0
n2498697992,Oinamlong,village,1512,1
n2498768470,Tollen,village,116,1
n2500948545,Tolloi,village,0,0
