id,name,state,lat,lon,kind,population,population_known,has_market,has_coldstore
s245753371,Niaunu,,26.823178,95.297982,village,0,0,0,0
s245755204,Chanu,,26.953334,95.337945,village,0,0,0,0
s245756182,Dilli,,27.1093,95.4178,village,0,0,0,0
s245758625,Yengil,,27.389044,93.021112,village,0,0,0,0
s245761427,Pemir,,27.717771,93.927504,village,0,0,0,0
s245761773,Lathao,,27.744217,95.910177,village,0,0,0,0
s245764243,Pareng,,28.1347,94.8042,village,0,0,0,0
s342097760,Tawang,,27.587919,91.863733,city,11000,1,0,0
s342097944,Senge,,27.45621,92.11212,town,0,0,0,0
s342097955,Lumpo,,27.720482,91.7144,village,254,1,0,0
s342097975,Zemithang,,27.710689,91.730053,town,336,1,0,0
s342098016,Gispu,,27.5798,91.68915,village,0,0,0,0
s342098096,Rahung,,27.31613,92.37305,hamlet,0,0,0,0
s342098150,Dirang,,27.36008,92.24121,town,0,0,0,0
s342098160,Rama Camp,,27.39166,92.20276,village,0,0,0,0
s342098262,New Maling,,27.635082,92.069362,hamlet,0,0,0,0
s342098270,Thingbu,,27.661535,92.098788,town,0,0,0,0
s342098872,Tumbin,,28.45791,94.684308,village,0,0,0,0
s342098886,Roying,,28.49991,94.65546,hamlet,0,0,0,0
s342098942,Payum,,28.577544,94.646517,hamlet,0,0,0,0
s342099065,洛克本,,28.23349,94.9411,hamlet,0,0,0,0
s342099080,Pangin,,28.233936,94.910843,hamlet,0,0,0,0
s342099167,Pobdi,,28.191236,94.744704,hamlet,0,0,0,0
s342100211,Lichi,,27.376248,93.879082,village,0,0,0,0
s342100394,Lengdu,,28.56171,94.18442,hamlet,0,0,0,0
s342101230,Babuk,,28.13736,95.10315,village,0,0,0,0
s832676201,Changlang,,27.13984,95.738248,town,0,0,0,0
s835236050,Rani,,27.964955,95.313006,village,0,0,0,0
s1185177134,Bana,,27.284996,92.853767,village,0,0,0,0
s1185177423,Palizi,,27.293477,92.777173,village,0,0,0,0
s1185179983,Dijungania,,27.342751,92.741271,village,0,0,0,0
s1185182418,Tuluhi,,27.315041,92.767912,village,0,0,0,0
s1296581671,Kathang,,27.294186,96.030729,hamlet,5000,1,0,0
s1404297652,Deban,,27.503591,96.376458,village,0,0,0,0
s1437215870,New Daring,,27.86337,94.802903,village,0,0,0,0
s1698582154,Namsai,,27.665839,95.861432,town,0,0,0,0
s1740001999,Guna Nagar,,27.809928,96.056706,village,0,0,0,0
s1740009465,Taushik,,27.790587,96.178805,village,0,0,0,0
s2463596060,Ringing,,28.142222,95.27234,village,0,0,0,0
s2463602631,Pangin,,28.211261,94.989599,village,0,0,0,0
s2529834311,Zirkhim,,27.759106,91.698704,hamlet,0,0,0,0
s2529834604,Hatung La,,27.776715,91.710181,hamlet,0,0,0,0
s2531348902,Rho,,27.614106,91.987227,village,0,0,0,0
s3017246155,Ramalingram,,27.18859,92.461821,village,0,0,0,0
s3018801081,Mandala,,27.273986,92.257246,village,0,0,0,0
s3477032980,Segong,,28.615033,94.072548,hamlet,0,0,0,0
s3703264834,Komkar,,28.499254,95.109452,village,0,0,0,0
s4040470091,Anelih,,28.517308,95.779836,village,0,0,0,0
s4041269232,Sarli,,27.952558,93.163373,village,0,0,0,0
s4041862409,Hebeng,,27.835431,93.936434,village,0,0,0,0
s4192814115,Jorong,,27.433957,96.006101,village,0,0,0,0
s4192815435,Namchik Havi,,27.431538,95.992926,village,0,0,0,0
s4193225242,Khasan Joglei,,27.442748,96.029497,village,0,0,0,0
s4193225243,Kuttom,,27.444214,96.026725,village,0,0,0,0
s4193225244,Nongtham,,27.448749,96.029035,village,0,0,0,0
s4193225407,Kaikhepother,,27.448491,96.065216,village,0,0,0,0
s4193225429,Neotan,,27.459303,96.088991,village,0,0,0,0
s4193225804,Neirong,,27.458031,96.094935,village,0,0,0,0
s4194547377,Old Plone,,27.432535,96.108487,village,0,0,0,0
s4194548238,Jotin Kaikhe,,27.457233,96.060915,village,0,0,0,0
s4194548239,Samkhidong,,27.452835,96.072867,village,0,0,0,0
s4194568182,Wagun Ponthai,,27.481905,95.931108,village,0,0,0,0
s4485112204,Bilat,,27.945613,95.180971,town,0,0,0,0
s4486210017,Pape Krong,,28.811383,94.262143,hamlet,0,0,0,0
s4621726549,Yomcha,,28.131715,94.569453,village,0,0,0,0
s4621727647,Chambang,,27.798435,93.776463,village,0,0,0,0
s4621727722,Tasi,,27.97569,94.516624,village,0,0,0,0
s4621727741,Baririjo,,27.944304,94.44959,town,0,0,0,0
s4621735951,Liromoba,,28.071346,94.496712,town,0,0,0,0
s4621736018,Tirbin,,28.025934,94.573358,village,0,0,0,0
s4622774785,Disi,,27.962652,94.716935,village,0,0,0,0
s4622775248,Kardo,,27.977245,94.549651,village,0,0,0,0
s4622776537,Gensi,,27.842817,94.625307,town,0,0,0,0
s4622794900,Monigong,,28.783732,94.278554,village,0,0,0,0
s4634003626,Molom,,28.315458,94.802313,village,0,0,0,0
s4643418242,Hiyo,,28.562044,94.632173,village,0,0,0,0
s4643418389,卡塔,,28.65258,94.620822,village,0,0,0,0
s4643418603,莎雄,,28.646483,94.65164,village,0,0,0,0
s4643418662,Gameng,,28.590593,94.672096,hamlet,0,0,0,0
s4643429878,Karle,,28.741104,94.302888,village,0,0,0,0
s4643992463,Konnu,,26.703659,95.316434,village,0,0,0,0
s4643995504,Khasa,,26.716993,95.358286,village,0,0,0,0
s4644007876,Noglo,,26.862218,95.593034,village,0,0,0,0
s4646200610,Upper Kolam,,26.936562,95.59867,village,0,0,0,0
s4646200672,Chinhan,,26.871683,95.589871,village,0,0,0,0
s4646200893,Sanliam,,26.929284,95.541708,village,0,0,0,0
s4646234749,Hukan,,26.949532,95.475904,village,0,0,0,0
s4646235605,Dadam,,26.921727,95.465176,village,0,0,0,0
s4646235664,Chinkoi,,26.91988,95.438234,village,0,0,0,0
s4646235673,Laho,,26.912197,95.410502,village,0,0,0,0
s4646244974,Raho,,26.860682,95.515714,village,0,0,0,0
s4646318907,Kothung,,26.91266,95.606017,village,0,0,0,0
s4646321042,Nogna,,26.945668,95.630177,village,0,0,0,0
s4646450437,Angolin,,28.566414,95.844025,village,0,0,0,0
s4646478502,Maroli,,28.85514,95.86048,hamlet,0,0,0,0
s4646478512,Alombro,,28.891293,95.813954,hamlet,0,0,0,0
s4650951737,Ranglum,,27.076339,95.862244,village,0,0,0,0
s4650975506,Ranghil,,27.095902,95.912102,village,0,0,0,0
s4650997500,Heqbok,,27.130841,95.938189,village,0,0,0,0
s4651014017,Borsatam,,27.138824,95.90177,village,0,0,0,0
s4652231150,Koelang,,27.09282,95.909933,village,0,0,0,0
s4652264391,Lunglom,,27.090187,95.902468,village,0,0,0,0
s4652412468,Koira,,27.169016,95.928516,village,0,0,0,0
s4652412492,Chasum,,27.178376,95.933712,village,0,0,0,0
