u,v,mode,distance_km,terrain,route_ref,lanes,monsoon_exposure,landslide_events
SLG,BNG,road,245,plain,NH-27,4,0.20,0
BNG,GLP,road,45,plain,NH-17,2,0.25,0
BNG,BPT,road,95,plain,NH-27,4,0.30,0
GLP,DBR,road,75,plain,NH-17,2,0.35,0
BPT,NLB,road,60,plain,NH-27,4,0.30,0
NLB,GAU,road,65,plain,NH-27,4,0.25,0
GLP,TUR,road,90,hilly,NH-217,2,0.50,3
TUR,SHL,road,220,mountain,NH-62,2,0.70,11
GAU,BYR,road,25,plain,NH-6,4,0.30,0
BYR,SHL,road,75,mountain,NH-6,4,0.75,14
SHL,JWI,road,65,mountain,NH-6,2,0.70,7
JWI,SCR,road,180,mountain,NH-6,2,0.85,26
GAU,NGN,road,120,plain,NH-27,4,0.30,0
NGN,TZP,road,80,plain,NH-15,2,0.35,0
GAU,TZP,road,180,plain,NH-15,2,0.30,0
TZP,NLK,road,180,plain,NH-15,2,0.40,0
NLK,DBG,road,130,plain,NH-15,2,0.40,1
NGN,LMD,road,95,plain,SH,2,0.40,0
LMD,HFL,road,90,mountain,NH-27,2,0.90,31
HFL,SCR,road,110,mountain,NH-27,2,0.90,28
NGN,DPU,road,110,hilly,NH-36,2,0.60,5
DPU,DMP,road,90,hilly,NH-36,2,0.60,6
NGN,JRT,road,180,plain,NH-37,4,0.30,0
JRT,GLG,road,55,plain,NH-37,2,0.30,0
GLG,DMP,road,80,plain,NH-29,2,0.35,1
JRT,SVS,road,55,plain,NH-37,2,0.30,0
SVS,DBG,road,80,plain,NH-37,2,0.35,0
DBG,TSK,road,50,plain,NH-37,4,0.30,0
TSK,NMS,road,60,plain,NH-315,2,0.45,1
DBG,PSG,road,130,hilly,NH-515,2,0.60,4
PSG,ZRO,road,250,mountain,NH-13,1,0.80,17
NLK,ZRO,road,120,mountain,NH-13,1,0.80,13
NLK,ITN,road,60,hilly,NH-15,2,0.50,3
ITN,NHL,road,12,plain,NH-415,4,0.30,0
TZP,TWG,road,320,mountain,NH-13,1,0.90,42
DMP,KHM,road,70,mountain,NH-29,2,0.80,19
KHM,IMP,road,130,mountain,NH-2,2,0.90,37
DMP,WKH,road,80,hilly,NH-129,1,0.70,9
WKH,MKG,road,60,hilly,SH,1,0.70,8
MKG,JRT,road,90,hilly,NH-702,2,0.65,7
IMP,CCP,road,60,hilly,NH-2,2,0.65,6
SCR,KRJ,road,55,plain,NH-8,2,0.40,0
SCR,KLB,road,110,mountain,NH-306,2,0.80,21
KLB,AZL,road,85,mountain,NH-6,2,0.80,18
AZL,LGL,road,165,mountain,NH-54,2,0.85,24
AZL,CHP,road,190,mountain,NH-6,1,0.85,22
KRJ,DMN,road,70,hilly,NH-8,2,0.50,2
DMN,AGT,road,190,hilly,NH-8,2,0.60,6
AGT,UDP,road,55,plain,NH-8,4,0.35,0
SLG,GTK,road,115,mountain,NH-10,2,0.90,45
GAU,JGP,road,150,plain,NH-27,4,0.30,0
JGP,DBR,road,75,plain,NH-17,2,0.30,0
GAU,PDU,road,8,plain,SH,4,0.20,0
SLG,BNG,rail,240,plain,NFR,0,0.20,0
BNG,GAU,rail,180,plain,NFR,0,0.20,0
GAU,NGN,rail,120,plain,NFR,0,0.25,0
NGN,LMD,rail,90,plain,NFR,0,0.30,0
LMD,HFL,rail,95,mountain,NFR-Hill,0,0.85,12
HFL,SCR,rail,120,mountain,NFR-Hill,0,0.85,10
SCR,DMN,rail,90,hilly,NFR,0,0.50,2
DMN,AGT,rail,160,hilly,NFR,0,0.50,1
NGN,JRT,rail,190,plain,NFR,0,0.25,0
JRT,DBG,rail,130,plain,NFR,0,0.30,0
DBG,TSK,rail,50,plain,NFR,0,0.25,0
GAU,DMP,rail,290,plain,NFR,0,0.30,0
DBR,JGP,water,80,riverine,NW-2,0,0.60,0
JGP,PDU,water,160,riverine,NW-2,0,0.60,0
PDU,TZP,water,190,riverine,NW-2,0,0.65,0
TZP,DBG,water,320,riverine,NW-2,0,0.70,0
GAU,IMP,air,270,aerial,AIR,0,0.25,0
GAU,AGT,air,280,aerial,AIR,0,0.25,0
GAU,AZL,air,300,aerial,AIR,0,0.30,0
GAU,DMP,air,220,aerial,AIR,0,0.25,0
GAU,SHL,air,100,aerial,AIR,0,0.30,0
GAU,DBG,air,350,aerial,AIR,0,0.25,0
GAU,ITN,air,215,aerial,AIR,0,0.30,0
GAU,SLG,air,345,aerial,AIR,0,0.20,0
IMP,AZL,air,180,aerial,AIR,0,0.30,0
